StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
The Urban Shop,Outlet Stores,25/02/2002,"216 Hernandez Burgs Suite 035
New Shawn  KS 24000",Andreschester,Wisconsin,Moldova,South,Kelly
The Artisan Haven,Outlet Stores,01/05/2020,"5254 Hansen Orchard
Port Edwinfurt  IA 73661",West Dana,Arizona,Mayotte,East,Nicole
The Serene Elegance,SMB,27/06/1970,"0843 Young Burgs Suite 810
Vaughantown  VA 29415",East Ann,Pennsylvania,Portugal,East,Kathryn
The Eclectic Enclave,SMB,08/08/1980,"0299 Lauren Union
North Michellebury  ND 61814",South Sherrimouth,Louisiana,Cape Verde,South,Brian
The Harmony Avenue,Exclusive,27/02/1999,"649 Jennifer Ville
South Glennbury  VA 44136",Justinside,New Jersey,American Samoa,East,Lisa
The Serene Enclave,MBO,01/08/1985,"26572 Jose Union
Robertsfort  MD 47357",East Jerryburgh,Idaho,Colombia,East,Mary
The Polished Nook,Outlet Stores,07/06/1983,"8181 Eric Crest Suite 578
Jennyberg  VI 27851",Brennanhaven,South Dakota,Wallis and Futuna,West,Taylor
The Whimsy Essentials,Outlet Stores,20/07/1971,"041 Amber Haven Apt. 806
Port Seanburgh  GA 04291",South Ashley,Delaware,Kazakhstan,North,Brittany
The Blissful Enclave,MBO,10/11/1974,"565 David Parkways
Ronaldborough  CT 80444",North Steven,Tennessee,Namibia,South,Ethan
The Elegant Creations,SMB,16/04/1995,"938 Adams Drive
East Loretta  GU 88833",Bryantside,Florida,Christmas Island,East,Roger
The Elegant Corner,SMB,29/07/1982,"6593 Wyatt Fords Suite 910
East Gordon  WA 64754",West Edwardport,Ohio,Tokelau,West,Dorothy
The Trendy Hub,Exclusive,29/10/1984,"155 Monroe Plaza
Martinborough  MI 72338",Lake Kristin,Maine,Greece,East,Andrew
The Golden Perfection,SMB,07/10/2007,"USS Conley
FPO AP 75334",Port Julie,Montana,Czech Republic,North,Brent
The Enchanted Deals,SMB,24/09/2021,"4365 Holmes Ford
East Kevinborough  IA 79221",Lake Connorbury,Massachusetts,Sierra Leone,South,Daniel
The Modern Treasures,Outlet Stores,15/04/1981,"597 Ramirez Cliff Suite 563
Woodwardstad  PA 85491",North Lindsey,Washington,North Macedonia,South,Gary
The Rustic Cabinet,MBO,22/01/1978,"6133 Edward Cape
Brownton  FM 51426",New Eric,Montana,Senegal,East,Ryan
The Serene Marvels,Exclusive,12/05/1990,"Unit 9146 Box 7787
DPO AA 50500",East Molly,Delaware,Greece,East,Christine
The Eclectic Treasures,Outlet Stores,08/12/2015,"474 Callahan Squares
Hutchinsonfurt  WI 05272",Lake Tiffanyport,Oklahoma,Denmark,West,Jennifer
The Shimmer Creations,Exclusive,07/08/2003,"4629 Janet Lock Apt. 011
East Nicole  RI 97957",Lake Rebeccafort,Illinois,Algeria,East,Benjamin
The Majestic Haven,Outlet Stores,28/05/1988,"915 Norman Garden Suite 001
Morganberg  OR 14785",Jasonshire,Missouri,Mauritania,East,Ray
The Rustic Boutique,Exclusive,01/04/1970,"337 Tucker Walks
New Matthewland  HI 65058",North Derrick,Oregon,Lebanon,East,Meredith
The Serene Corner,MBO,22/12/2021,"2864 Alicia Harbors Apt. 652
Port Kaylabury  MP 27285",Jamesburgh,South Dakota,Benin,West,Joel
The Dapper Reflections,Exclusive,20/06/2017,"14311 Ashley Green Apt. 810
Davidland  MA 03296",Hicksmouth,California,Ethiopia,East,Zachary
The Modern Quest,Exclusive,30/11/1998,"PSC 7932  Box 3885
APO AE 75098",Cassandramouth,Kansas,Cameroon,South,Lorraine
The Happy Oasis,SMB,21/07/2018,"2784 Michael Street Apt. 162
West Luis  NV 12872",North Jacobview,Wisconsin,Cameroon,North,Michael
The Whimsy Nook,SMB,30/04/1991,"24024 Michael Valleys
Port Meaganstad  ND 74716",Holmesbury,Michigan,French Southern Territories,West,Stacy
The Luxe Shop,SMB,20/06/2004,"PSC 5284  Box 0763
APO AE 77749",Poolemouth,Maine,Myanmar,North,Steven
The Elegant Oasis,SMB,24/07/2010,"79159 Burke Streets
New Anthonyberg  NH 17999",West Donnaville,Colorado,Czech Republic,South,George
The Dapper Marketplace,SMB,27/09/2008,"53067 Ellis Corner Apt. 080
Vanessamouth  MD 96579",North Ronald,Kentucky,Macao,South,Michelle
The Trendy Shop,MBO,04/04/2014,"603 Michelle Overpass Suite 285
Gloriamouth  VT 02478",Lawsonland,Utah,Benin,North,Joshua
The Whimsy Nook,Exclusive,15/03/1974,"151 Johnson Valleys
South Michelle  WV 41663",Lake Josephton,Georgia,United Arab Emirates,North,Kyle
The Rustic Essentials,SMB,17/05/2018,"85744 Dyer Cove
Michellefort  NC 36554",South Dalechester,Alabama,Christmas Island,North,Robert
The Timeless Avenue,Outlet Stores,31/07/1988,"8698 Dorothy Trafficway
New Traci  WV 67237",Carlland,Maryland,Mongolia,West,John
The Elegant Creations,MBO,16/03/1982,"72119 Oneill Glen Apt. 954
Lake Laurabury  ND 76381",Tiffanyfort,Wyoming,Indonesia,East,Linda
The Enchanted Loft,Outlet Stores,28/09/2006,"2053 Douglas Course
West Ashley  LA 29145",New Brandonview,Maine,Jordan,East,Aaron
The Blissful Elegance,MBO,12/04/2020,"81155 Anne Street Suite 550
Powellfurt  HI 01170",Port Teresaport,Texas,Russian Federation,South,Nicholas
The Blissful Emporium,Exclusive,31/10/1982,"198 Alexandra Path
West Paul  NM 61506",Bellmouth,North Dakota,Albania,South,Daniel
The Enchanted Marvels,Outlet Stores,28/06/2000,"9485 Mason Turnpike Suite 333
Smithstad  VI 31687",Nicoleview,Hawaii,Finland,North,Andrew
The Rustic Reflections,Outlet Stores,04/07/1997,"275 Theresa Loop Suite 695
Robertberg  PR 53771",Hollyside,Michigan,Eritrea,North,Randy
The Dapper Essentials,Outlet Stores,31/08/1974,"04854 Fisher Lakes
Lake Kelseyborough  OR 25400",Jonathanmouth,California,Mauritius,West,Gary
The Enchanted Corner,MBO,29/10/1989,"675 Fernando Throughway
Lynchton  SC 14599",Torresport,Florida,Nicaragua,South,Matthew
The Classy Creations,SMB,03/01/1975,"3485 Stafford Station Apt. 078
Matthewmouth  OR 32542",East Jenniferberg,Michigan,Cyprus,South,Danny
The Whimsy Corner,SMB,21/07/1995,"PSC 8177  Box 7488
APO AA 40524",New Davidton,Idaho,Switzerland,East,Kathy
The Timeless Loft,Outlet Stores,05/05/2016,"7404 Marie Burg Suite 887
West Kyleburgh  LA 08843",Lake Annahaven,Oregon,Kyrgyz Republic,North,Gail
The Trendy Marketplace,MBO,29/05/2000,"70098 Marshall Harbors
Parkertown  FM 50461",New John,Arizona,Wallis and Futuna,West,Jeremy
The Vintage Treasures,MBO,14/05/2005,"44367 Brent Squares
Lake Julie  AS 53943",West Amberstad,Ohio,Nicaragua,South,Katie
The Classy Merchant,Exclusive,29/03/2005,"023 Richards Motorway Apt. 179
Lake Hectorburgh  FM 22751",East William,Kansas,Afghanistan,South,Daniel
The Shimmer Shop,Exclusive,15/07/1990,"4148 Collin Valley
Davidmouth  WV 10128",Joneschester,Georgia,Zimbabwe,West,Meghan
The Blissful Shoppe,SMB,13/10/1976,"70144 Nelson Corners
South Michelle  FL 26865",East Brian,Colorado,Tanzania,East,Anthony
The Blissful Finds,SMB,05/12/2004,"784 Morrison Forge Apt. 983
Ryanfort  IA 35588",Vickiberg,Florida,Tunisia,West,Jessica
The Chic Hub,SMB,15/06/1979,"95470 Erin Unions
Wallaceport  PA 21436",Port Christina,Texas,Mexico,West,Timothy
The Modern Merchant,SMB,30/05/2021,"99492 Brian Meadows
East Samantha  AR 68964",Port Lisa,New York,Sao Tome and Principe,South,Michael
The Shimmer Corner,Outlet Stores,17/08/2000,"66916 Kristy Rapids
Hensonburgh  AK 80174",Johnsonstad,New York,Netherlands,North,Joseph
The Eclectic Shoppe,MBO,05/02/1981,"4847 Stephanie Shores Suite 179
Jonathanstad  TN 44680",Michaelberg,Montana,Saint Martin,West,Christopher
The Polished Deals,Exclusive,22/05/2014,"28605 Irwin Circle Suite 520
Cooperberg  WI 88737",South Johnbury,Vermont,San Marino,East,Lydia
The Classy Boutique,Outlet Stores,09/07/2001,"950 Edwards Island
Christopherhaven  AK 09373",Bryantton,Vermont,Venezuela,North,Gail
The Enchanted Sanctuary,MBO,14/11/1989,"0762 Herbert Plain
Lake Michael  GA 11496",East Anthony,West Virginia,China,West,Kristen
The Enchanted Deals,MBO,08/10/1992,"96416 Doyle Keys
Marshfort  OR 40705",Porterfurt,Kentucky,Jamaica,South,Brian
The Whimsy Closet,SMB,28/11/2016,"15180 Thomas Burg
South Andreaberg  WV 20989",Tinaton,South Dakota,French Polynesia,North,Geoffrey
The Enchanted Emporium,Exclusive,11/05/1994,"06762 Jackson Lake Apt. 515
Lake Andrewview  FL 10656",East Keith,North Carolina,Finland,East,Stephen
The Polished Elegance,SMB,04/12/2003,"6552 Lambert Mountain
Williamston  FL 07189",East Markland,Florida,Suriname,East,Gloria
The Polished Sanctuary,Exclusive,31/12/1989,"055 Ashley Canyon
New Allentown  ME 02732",Brookeville,Kentucky,Sao Tome and Principe,East,Jacqueline
The Harmony Quest,Outlet Stores,11/07/2022,"2101 Michael Mission
Lynchborough  DE 98530",Port Katrinaport,Colorado,Australia,South,Michael
The Unique Essentials,MBO,14/04/2015,"163 Suzanne Ferry Suite 405
Brownside  NY 71965",New Danielhaven,Utah,Cyprus,South,Christine
The Chic Hub,Exclusive,21/01/1972,"90101 Gutierrez Village Suite 479
Taylorberg  MD 11010",Aliciafurt,Arkansas,Japan,North,Ronald
The Vintage Shoppe,SMB,23/03/1999,"1773 Kristen Rapid Suite 887
East Jerrymouth  WI 42571",Sanchezburgh,North Carolina,Cameroon,South,John
The Stylish Boutique,Exclusive,14/06/2008,"Unit 8259 Box 9671
DPO AA 74968",West Johntown,Florida,Ethiopia,East,Lisa
The Timeless Haven,MBO,01/11/1996,"81538 Green Freeway Apt. 594
Lawsonport  MO 35157",Ericview,California,Cocos (Keeling) Islands,East,Miranda
The Vintage Closet,Outlet Stores,20/05/1998,"491 Cordova Wall Apt. 508
Mitchellstad  ME 09322",Port Brittanyborough,South Dakota,Bulgaria,West,Amber
The Blissful Oasis,SMB,03/03/2011,"5675 Smith Greens
Tiffanychester  MS 61454",New Suzannefort,Idaho,Burundi,West,Todd
The Urban Corner,SMB,28/08/1975,"832 Gregory Crossing Suite 755
North Patrick  OH 50142",Joshuamouth,Michigan,Turkey,East,Laura
The Blissful Merchant,Exclusive,26/10/1989,"2492 Cristian Vista
Lake Robert  PW 34250",Rhodesside,Michigan,Tonga,North,Billy
The Trendy Nook,Exclusive,30/07/2009,"48483 Romero Glens Apt. 586
Lake Jonathanland  IA 46858",Petersonmouth,Oregon,Georgia,North,Alan
The Chic Enclave,SMB,03/09/1975,"8126 Wilson Ville Apt. 565
North Robert  MN 50568",Flowerston,Tennessee,Luxembourg,East,Nicholas
The Purely Emporium,SMB,10/06/1970,"95113 Sherri Groves Apt. 190
Lake Kimberly  CO 34189",Brandyborough,Pennsylvania,Mexico,West,Edward
The Modern Quest,Outlet Stores,10/01/1978,"15696 Schroeder Garden
Caseyshire  SC 07515",Lake Dianefurt,Ohio,Albania,East,Susan
The Enchanted Shop,SMB,21/07/2004,"32068 Sara Spurs Suite 097
Lesterfort  NC 23973",Port Patrickbury,Arkansas,Senegal,East,Brian
The Cozy Haven,SMB,19/06/2019,"740 Virginia Ports
North Anthonyberg  WV 18078",Gatesfurt,Ohio,Heard Island and McDonald Islands,East,Benjamin
The Eclectic Essentials,SMB,02/01/1998,"Unit 3113 Box 7093
DPO AA 30088",Jonesbury,Michigan,Aruba,South,Benjamin
The Eclectic Finds,Exclusive,25/10/1973,"USNS Perez
FPO AE 91597",Lake Carol,Alabama,Maldives,North,Veronica
The Luxe Boutique,MBO,09/03/1983,"666 Black Pines Suite 676
Reynoldstown  ND 01471",Timothyshire,New Mexico,Aruba,South,Marcus
The Unique Perfection,Outlet Stores,26/03/1995,"99774 Hobbs Station
Freemanland  AR 33294",Michaelfurt,Nevada,Grenada,North,Melissa
The Rustic Treasures,MBO,17/03/2007,"12739 Amanda Oval
Angelaport  MT 92246",Phelpsbury,South Carolina,Guam,West,Andrea
The Trendy Marvels,Outlet Stores,14/09/2019,"5829 Timothy Parkway
Jasminburgh  SD 11388",South Breannaburgh,Arizona,Uganda,North,Dennis
The Rustic Oasis,MBO,13/06/1990,"297 Darlene Gardens
North Brandi  OR 74602",Brennanville,South Dakota,San Marino,West,Marilyn
The Urban Closet,Outlet Stores,16/02/2011,"86020 Hannah Trafficway Apt. 470
Devontown  DE 80445",Cookton,Indiana,Turkey,East,Anthony
The Purely Essentials,MBO,26/09/2002,"945 Mario Overpass
North Kelli  PA 71144",Cartermouth,South Dakota,Korea,South,Alexander
The Dapper Sanctuary,MBO,17/08/1989,"6082 Angela River
West Kelliside  PA 64905",Tatemouth,Maryland,Mali,East,Jessica
The Urban Loft,Exclusive,16/04/1992,"3366 Mark Cove Suite 144
Wellsshire  CT 99881",Lake Lori,Massachusetts,Angola,South,Wesley
The Dapper Cabinet,MBO,06/03/2006,"15512 Hill Courts
Robertport  RI 12105",Kaylaland,Indiana,Bulgaria,South,Debra
The Happy Corner,Outlet Stores,21/02/1972,"9355 Kristen Centers
Lake Mackenziehaven  CT 65033",Lindseyland,Rhode Island,United States Minor Outlying Islands,East,Virginia
The Luxe Treasures,MBO,19/05/2019,"USCGC Jones
FPO AA 62066",Hallfurt,Virginia,Montenegro,East,Tyler
The Serene Elegance,Outlet Stores,23/10/1971,"290 Barnes Gardens
West Peggymouth  NY 26424",Torreschester,South Dakota,San Marino,South,Teresa
The Unique Merchant,SMB,03/08/1981,"76888 Yates Brooks
Mooreton  AS 37570",New Mark,Ohio,Italy,West,Mindy
The Dapper Merchant,SMB,10/08/1976,"364 Scott Course Suite 912
Stephanieland  KS 28707",North Hector,Wisconsin,Oman,South,Marvin
The Golden Elegance,SMB,02/12/1988,"80848 Connie Glen Apt. 777
Lewisland  FM 16693",Amberberg,Texas,Finland,East,Isabella
The Enchanted Vault,Outlet Stores,14/02/1979,"679 Webb Ways
New George  VA 07570",Lake Paul,Iowa,Hungary,North,William
The Vintage Reflections,SMB,27/04/1982,"484 Terrell Square
Andrewsfort  MH 16132",Lake Ginachester,Maine,Guinea,North,Kristine
The Dapper Avenue,Outlet Stores,01/05/2000,"626 Phillips Ford Apt. 332
Port Morgan  NM 48062",North John,Montana,Heard Island and McDonald Islands,South,Amanda
The Urban Marketplace,MBO,12/06/1987,"34212 Martin Island
Jonesberg  PA 89805",Andersonstad,Nevada,Jersey,West,John
